R	G	B	PC	Good?

0	0	0	000000  Yes
0	0	08	000008	Yes
0	0	16	000020	No
0	0	24	001040	No
0	0	31	001850	No

0	08	0	001800	Yes
0	08	08	002018	Yes
0	08	16      004048  Yes
0	08	24      007090  No
0	08	31      007090  No

0	16	0	003000	Yes
0	16	08      004010  Yes
0	16	16	006040	Yes
0	16	24      00a090  Yes
0	16	31      00a090  Yes

0	24	0	008000	Yes
0	24	08      009028  Yes
0	24	16      00a068  Yes
0	24	24	00C080	Yes
0	24	31      00F0C0  Yes

0	31	0	00C000	Yes
0	31	08      00D040  Yes
0	31	16      00FF90  Yes
0	31	24      00FFD0  No
0	31	31	00FFD0	No

08	0	0	180000	Yes
08	0	08	100010	Yes
08	0	16	202030  Ok
08	0	24	303040  Ok
08	0	31	205080  No

08	08	0	181400	Yes
08	08	08	202020  Yes
08	08	16	202024  Ok
08	08	24	204050  Ok
08	08	31	305060  Ok

08	16	0	304000  Yes
08	16	08	305020  Yes
08	16	16	406048  Ok
08	16	24	408090  Ok
08	16	31	4090A0  Ok

08	24	0	508000  Ok
08	24	08	508020  Yes
08	24	16	40A060  Yes
08	24	24	50D0A0  Yes
08	24	31	50F0E0  Ok

08	31	0	70C000  Ok
08	31	08	70D050  Yes
08	31	16	70D080  Yes
08	31	24	70FFC0  Ok
08	31	31	70FFC0  Ok

16	0	0	400000	Yes
16	0	08	300018  Yes
16	0	16	301830	Yes
16	0	24	503850  Yes
16	0	31	604060  Yes

16	08	0	402000  Yes
16	08	08	402010  Yes
16	08	16	504050  Yes
16	08	24	606070  Ok
16	08	31	606070  Ok

16	16	0	504000	Yes
16	16	08	504020  Yes
16	16	16	606050  Yes
16	16	24	808080  Yes
16	16	31	808088  Yes

16	24	0	908000  Ok
16	24	08	908030  Yes
16	24	16	90A060  Yes
16	24	24	90C090  Ok
16	24	31	90D0C0  Ok

16	31	0	A0A040  Ok
16	31	08	A0A050  Ok
16	31	16	B0D080  Ok
16	31	24	A0F0C0  No
16	31	31	A0F0C0  No

24	0	0	600000	Yes
24	0	08	600020  Yes
24	0	16	603040  Yes
24	0	24	603050	Yes
24	0	31	704060  Yes

24	08	0	703000  Yes
24	08	08	703020  Yes
24	08	16	704040  Yes
24	08	24	705060  Yes
24	08	31	806070  Yes

24	16	0	A05000  Yes
24	16	08	A05020  Yes
24	16	16	A07060  Ok
24	16	24	B0A0B0  Ok
24	16	31	C0B0C0  Ok

24	24	0	F0B030	Yes
24	24	08	F0C060  Ok
24	24	16	F0D090  Ok
24	24	24	F0F0E0  Yes
24	24	31	F0F0F0  Yes

24	31	0	F0C040  Yes
24	31	08	FFE090  Ok
24	31	16	FFFFC0  Ok
24	31	24	FFFFF0  Ok
24	31	31	FFFFFF  Ok

31	0	0	700000	Yes
31	0	08	700020  Yes
31	0	16	703040  Yes
31	0	24      704050  Yes
31	0	31	704060	Yes

31	08	0	803000  ?
31	08	08      803020  ?
31	08	16	804040  ?
31	08	24	805060  ?
31	08	31	806070  ?

31	16	0	C05000  Yes
31	16	08	C05020  Yes
31	16	16	D08060  Yes
31	16	24	E0B0B0  Ok
31	16	31	F0C0C0  Ok

31	24	0	F0B030  Ok
31	24	08	F0B060  Yes
31	24	16	F0D0A0  Yes
31	24	24	FFF0E0  Yes
31	24	31	FFF0FF  Yes

31	31	0	FFC030	Yes
31	31	08	FFC860  Yes
31	31	16	FFE0B0  Yes
31	31	24	FFFFF0  Yes
31	31	31	FFFFFF  Yes
